qid,type,rr
QE:DOID:2582:1,QE,0.0
QE:DOID:0070511:0,QE,0.0
QE:DOID:0070511:1,QE,0.0
QE:DOID:12465:0,QE,0.0
QE:DOID:12465:1,QE,0.0
QE:DOID:0070520:0,QE,0.0
QE:DOID:0070520:1,QE,0.0
QE:DOID:11875:0,QE,0.0
QE:DOID:11875:1,QE,0.0
QE:DOID:6315:0,QE,0.0
QE:DOID:7808:0,QE,0.0
QE:DOID:0111377:0,QE,0.0
QE:DOID:0111377:1,QE,0.0
QE:DOID:0080205:0,QE,0.0
QE:DOID:0080205:1,QE,0.0
QE:DOID:0112255:0,QE,0.0
QE:DOID:0112255:1,QE,0.0
QE:DOID:9942:0,QE,0.0
QE:DOID:13200:0,QE,0.0
QE:DOID:13200:1,QE,0.0
QE:DOID:11823:0,QE,0.0
QE:DOID:0061031:0,QE,0.0
QE:DOID:0080593:0,QE,0.0
QE:DOID:0110626:0,QE,0.0
QE:DOID:0110626:1,QE,0.0
QE:DOID:4065:0,QE,0.0
QE:DOID:4065:1,QE,0.0
QE:DOID:0070399:0,QE,0.0
QE:DOID:0070399:1,QE,0.0
QE:DOID:0081213:0,QE,0.0
QE:DOID:0110720:0,QE,0.0
QE:DOID:0110720:1,QE,0.0
QE:DOID:6017:0,QE,0.0
QE:DOID:6017:1,QE,0.0
QE:DOID:0110336:0,QE,0.0
QE:DOID:0110336:1,QE,0.0
QE:DOID:0040060:0,QE,0.0
QE:DOID:0040060:1,QE,0.0
QE:DOID:5482:0,QE,0.0
QE:DOID:0061208:0,QE,0.0
QE:DOID:0061208:1,QE,0.0
QE:DOID:0050944:0,QE,0.0
QE:DOID:0111881:0,QE,0.0
QE:DOID:0111881:1,QE,0.0
QE:DOID:0040104:0,QE,0.0
QE:DOID:10149:0,QE,0.0
QE:DOID:10149:1,QE,0.0
QE:DOID:7206:0,QE,0.0
QE:DOID:0060567:0,QE,0.0
QE:DOID:0060311:0,QE,0.0
QE:DOID:0060311:1,QE,0.0
QE:DOID:2671:0,QE,0.0
QE:DOID:2671:1,QE,0.0
QE:DOID:0050175:0,QE,0.0
QE:DOID:0050175:1,QE,0.0
QE:DOID:0112368:0,QE,0.0
QE:DOID:0112368:1,QE,0.0
QE:DOID:13711:0,QE,0.0
QE:DOID:13711:1,QE,0.0
QE:DOID:7764:0,QE,0.0
QE:DOID:7764:1,QE,0.0
QE:DOID:0050675:0,QE,0.0
QE:DOID:0050675:1,QE,0.0
QE:DOID:0081011:0,QE,0.0
QE:DOID:5488:0,QE,0.0
QE:DOID:5488:1,QE,0.0
QE:DOID:0060072:0,QE,0.0
QE:DOID:1529:0,QE,0.0
QE:DOID:0070434:0,QE,0.0
QE:DOID:0070434:1,QE,0.0
QE:DOID:0110849:0,QE,0.0
QE:DOID:0110849:1,QE,0.0
QE:DOID:12326:0,QE,0.0
QE:DOID:0060209:0,QE,0.0
QE:DOID:0060209:1,QE,0.0
QE:DOID:6505:0,QE,0.0
QE:DOID:14744:0,QE,0.0
QE:DOID:14744:1,QE,0.0
QE:DOID:857:0,QE,0.0
QE:DOID:175:0,QE,0.0
QE:DOID:175:1,QE,0.0
QE:DOID:14500:0,QE,0.0
QE:DOID:14500:1,QE,0.0
QE:DOID:8050:0,QE,0.0
QE:DOID:0081058:0,QE,0.0
QE:DOID:9250:0,QE,0.0
QE:DOID:9250:1,QE,0.0
QE:DOID:13767:0,QE,0.0
QE:DOID:13767:1,QE,0.0
QE:DOID:5747:0,QE,0.0
QE:DOID:0111760:0,QE,0.0
QE:DOID:0111760:1,QE,0.0
QE:DOID:0110828:0,QE,0.0
QE:DOID:0110828:1,QE,0.0
QE:DOID:7174:0,QE,0.0
QE:DOID:7174:1,QE,0.0
QE:DOID:3659:0,QE,0.0
QE:DOID:0070381:0,QE,0.0
QE:DOID:0070381:1,QE,0.0
QE:DOID:13523:0,QE,0.0
QE:DOID:4626:0,QE,0.0
QE:DOID:10398:0,QE,0.0
QE:DOID:10398:1,QE,0.0
QE:DOID:0112211:0,QE,0.0
QE:DOID:0112211:1,QE,0.0
QE:DOID:0070054:0,QE,0.0
QE:DOID:0070054:1,QE,0.0
QE:DOID:0070112:0,QE,0.0
QE:DOID:0080000:0,QE,0.0
QE:DOID:0070352:0,QE,0.0
QE:DOID:0070352:1,QE,0.0
QE:DOID:5677:0,QE,0.0
QE:DOID:5677:1,QE,0.0
QE:DOID:3930:0,QE,0.0
QE:DOID:3930:1,QE,0.0
QE:DOID:0112053:0,QE,0.0
QE:DOID:0112053:1,QE,0.0
QE:DOID:12253:0,QE,0.0
QE:DOID:12253:1,QE,0.0
QE:DOID:0110716:0,QE,0.0
QE:DOID:0110716:1,QE,0.0
QE:DOID:0110472:0,QE,0.0
QE:DOID:0110472:1,QE,0.0
QE:DOID:10525:0,QE,0.0
QE:DOID:3192:0,QE,0.0
QE:DOID:3192:1,QE,0.0
QE:DOID:5822:0,QE,0.0
QE:DOID:10846:0,QE,0.0
QE:DOID:8353:0,QE,0.0
QE:DOID:8353:1,QE,0.0
QE:DOID:2799:0,QE,0.0
QE:DOID:2799:1,QE,0.0
QE:DOID:0080917:0,QE,0.0
QE:DOID:5629:0,QE,0.0
QE:DOID:5629:1,QE,0.0
QE:DOID:8913:0,QE,0.0
QE:DOID:8913:1,QE,0.0
QE:DOID:4111:0,QE,0.0
QE:DOID:4111:1,QE,0.0
QE:DOID:0070296:0,QE,0.0
QE:DOID:0070296:1,QE,0.16666666666666666
QE:DOID:2436:0,QE,0.0
QE:DOID:2436:1,QE,0.0
QE:DOID:0110540:0,QE,0.0
QE:DOID:0110540:1,QE,0.0
QE:DOID:0110660:0,QE,0.0
QE:DOID:0110660:1,QE,0.0
QE:DOID:110:0,QE,0.0
QE:DOID:0060338:0,QE,0.0
QE:DOID:0080122:0,QE,0.0
QE:DOID:0080122:1,QE,0.0
QE:DOID:0090126:0,QE,0.0
QE:DOID:0090126:1,QE,0.0
QE:DOID:2762:0,QE,0.3333333333333333
QE:DOID:0070016:0,QE,0.0
QE:DOID:0070016:1,QE,0.0
QE:DOID:0111527:0,QE,0.0
QE:DOID:0111527:1,QE,0.0
QE:DOID:2889:0,QE,0.0
QE:DOID:0110939:0,QE,0.0
QE:DOID:0110939:1,QE,0.0
QE:DOID:0110202:0,QE,0.0
QE:DOID:0110202:1,QE,0.0
QE:DOID:0060377:0,QE,0.0
QE:DOID:0060377:1,QE,0.0
QE:DOID:0050846:0,QE,0.0
