qid,type,rr
QE:HP:0025130:0,QE,0.3333333333333333
QE:HP:0025130:1,QE,0.2
QE:HP:0012021:0,QE,1.0
QE:HP:0001574:0,QE,1.0
QE:HP:0001621:0,QE,1.0
QE:HP:0001621:1,QE,1.0
QE:HP:0000632:0,QE,1.0
QE:HP:0000632:1,QE,1.0
QE:HP:0025662:0,QE,0.3333333333333333
QE:HP:0008372:0,QE,1.0
QE:HP:0004405:0,QE,1.0
QE:HP:0004405:1,QE,1.0
QE:HP:0032189:0,QE,1.0
QE:HP:4000186:0,QE,1.0
QE:HP:4000186:1,QE,1.0
QE:HP:0005997:0,QE,1.0
QE:HP:0005997:1,QE,1.0
QE:HP:0025008:0,QE,1.0
QE:HP:0004420:0,QE,1.0
QE:HP:0004420:1,QE,1.0
QE:HP:0045039:0,QE,1.0
QE:HP:0025466:0,QE,1.0
QE:HP:0000818:0,QE,1.0
QE:HP:0000818:1,QE,1.0
QE:HP:0003010:0,QE,1.0
QE:HP:0003010:1,QE,1.0
QE:HP:0034191:0,QE,1.0
QE:HP:0100834:0,QE,1.0
QE:HP:0100834:1,QE,1.0
QE:HP:0003652:0,QE,0.3333333333333333
QE:HP:0003652:1,QE,0.3333333333333333
QE:HP:0010998:0,QE,1.0
QE:HP:0025685:0,QE,1.0
QE:HP:0030814:0,QE,1.0
QE:HP:0030814:1,QE,1.0
QE:HP:0011804:0,QE,1.0
QE:HP:0011804:1,QE,1.0
QE:HP:0004846:0,QE,1.0
QE:HP:0004846:1,QE,1.0
QE:HP:0011400:0,QE,1.0
QE:HP:0011400:1,QE,1.0
QE:HP:0003570:0,QE,1.0
QE:HP:6000052:0,QE,1.0
QE:HP:0000118:0,QE,1.0
QE:HP:0000118:1,QE,1.0
QE:HP:0000539:0,QE,0.5
QE:HP:0012195:0,QE,0.5
QE:HP:0012195:1,QE,0.5
QE:HP:0000144:0,QE,1.0
QE:HP:0000144:1,QE,1.0
QE:HP:6001374:0,QE,1.0
QE:HP:0034631:0,QE,1.0
QE:HP:0034631:1,QE,1.0
QE:HP:0034317:0,QE,1.0
QE:HP:0000545:0,QE,0.5
QE:HP:0000545:1,QE,1.0
QE:HP:0005924:0,QE,1.0
QE:HP:0005924:1,QE,1.0
QE:HP:0003109:0,QE,1.0
QE:HP:0003109:1,QE,1.0
QE:HP:6000349:0,QE,1.0
QE:HP:0011276:0,QE,1.0
QE:HP:0011276:1,QE,0.5
QE:HP:0034606:0,QE,0.3333333333333333
QE:HP:0034606:1,QE,1.0
QE:HP:0001904:0,QE,1.0
QE:HP:0001904:1,QE,1.0
QE:HP:0100612:0,QE,1.0
QE:HP:0100612:1,QE,1.0
QE:HP:0031073:0,QE,1.0
QE:HP:0031460:0,QE,0.25
QE:HP:0430075:0,QE,0.0
QE:HP:0430075:1,QE,0.0
QE:HP:0001528:0,QE,0.2
QE:HP:0001528:1,QE,1.0
QE:HP:0000001:0,QE,1.0
QE:HP:6000561:0,QE,1.0
QE:HP:0410196:0,QE,1.0
QE:HP:0410196:1,QE,1.0
QE:HP:6000044:0,QE,1.0
QE:HP:6000044:1,QE,0.5
QE:HP:0040315:0,QE,1.0
QE:HP:0040315:1,QE,1.0
QE:HP:0008946:0,QE,1.0
QE:HP:0008946:1,QE,1.0
QE:HP:0025109:0,QE,1.0
QE:HP:0025109:1,QE,1.0
QE:HP:0002376:0,QE,0.3333333333333333
QE:HP:0002376:1,QE,0.1
QE:HP:0040282:0,QE,1.0
QE:HP:0040282:1,QE,1.0
QE:HP:0009811:0,QE,1.0
QE:HP:0009811:1,QE,1.0
QE:HP:0001808:0,QE,1.0
QE:HP:0001808:1,QE,1.0
QE:HP:0034640:0,QE,1.0
QE:HP:6000681:0,QE,1.0
QE:HP:0034338:0,QE,0.0
QE:HP:0001195:0,QE,0.0
QE:HP:0001195:1,QE,0.0
QE:HP:6000925:0,QE,1.0
QE:HP:6000925:1,QE,0.5
QE:HP:6000689:0,QE,1.0
QE:HP:0033345:0,QE,1.0
QE:HP:0040410:0,QE,1.0
QE:HP:0012468:0,QE,1.0
QE:HP:0012843:0,QE,0.5
QE:HP:0009124:0,QE,1.0
QE:HP:0009124:1,QE,0.3333333333333333
QE:HP:0031826:0,QE,0.14285714285714285
QE:HP:0011421:0,QE,1.0
QE:HP:0011421:1,QE,1.0
QE:HP:0000077:0,QE,1.0
QE:HP:0000077:1,QE,1.0
QE:HP:0002983:0,QE,1.0
QE:HP:0002983:1,QE,1.0
QE:HP:0034597:0,QE,1.0
QE:HP:0033667:0,QE,0.5
QE:HP:0033667:1,QE,1.0
QE:HP:0031032:0,QE,1.0
QE:HP:0005977:0,QE,1.0
QE:HP:0032490:0,QE,0.3333333333333333
QE:HP:0032490:1,QE,1.0
QE:HP:0030138:0,QE,1.0
QE:HP:0030138:1,QE,1.0
QE:HP:0032319:0,QE,0.3333333333333333
QE:HP:0410052:0,QE,1.0
QE:HP:0020006:0,QE,1.0
QE:HP:0006490:0,QE,0.16666666666666666
QE:HP:0006490:1,QE,1.0
QE:HP:0025701:0,QE,1.0
QE:HP:6000287:0,QE,1.0
QE:HP:0001763:0,QE,0.0
QE:HP:0001763:1,QE,0.0
QE:HP:0031854:0,QE,0.5
QE:HP:0031854:1,QE,0.5
QE:HP:0002922:0,QE,1.0
QE:HP:0002922:1,QE,0.3333333333333333
QE:HP:0100245:0,QE,0.0
QE:HP:0100245:1,QE,0.2
QE:HP:0000490:0,QE,0.0
QE:HP:0000490:1,QE,1.0
QE:HP:6000554:0,QE,1.0
QE:HP:0008261:0,QE,0.25
QE:HP:0020230:0,QE,1.0
QE:HP:0033674:0,QE,1.0
QE:HP:0032450:0,QE,1.0
QE:HP:0031062:0,QE,1.0
QE:HP:3000036:0,QE,1.0
QE:HP:3000036:1,QE,1.0
QE:HP:6000701:0,QE,0.5
QE:HP:6000701:1,QE,1.0
QE:HP:0034516:0,QE,1.0
QE:HP:0034516:1,QE,1.0
QE:HP:0100729:0,QE,0.5
QE:HP:0100729:1,QE,1.0
QE:HP:0000505:0,QE,0.5
QE:HP:0000505:1,QE,0.0
QE:HP:0010719:0,QE,1.0
QE:HP:0010719:1,QE,1.0
QE:HP:0040206:0,QE,0.5
QE:HP:0004484:0,QE,1.0
QE:HP:0004484:1,QE,1.0
QE:HP:0020228:0,QE,1.0
QE:HP:6000068:0,QE,1.0
QE:HP:0032036:0,QE,0.3333333333333333
QE:HP:0032036:1,QE,1.0
QE:HP:0009553:0,QE,1.0
QE:HP:0009553:1,QE,1.0
QE:HP:0008994:0,QE,1.0
QE:HP:0008994:1,QE,1.0
QE:HP:0002071:0,QE,1.0
QE:HP:0002071:1,QE,1.0
QE:HP:0011895:0,QE,1.0
QE:HP:0011895:1,QE,1.0
QE:HP:0010318:0,QE,1.0
QE:HP:0010318:1,QE,1.0
QE:HP:6000716:0,QE,1.0
QE:HP:6000716:1,QE,1.0
QE:HP:0100705:0,QE,1.0
QE:HP:0100705:1,QE,1.0
QE:HP:0032485:0,QE,1.0
QE:HP:0032485:1,QE,1.0
QE:HP:0025143:0,QE,1.0
QE:HP:0025143:1,QE,1.0
QE:HP:0011821:0,QE,0.5
QE:HP:0011821:1,QE,0.5
QE:HP:6001179:0,QE,1.0
QE:HP:6001179:1,QE,1.0
QE:HP:0003676:0,QE,1.0
QE:HP:0003676:1,QE,0.2
QE:HP:0001540:0,QE,1.0
QE:HP:0001540:1,QE,0.0
QE:HP:0100614:0,QE,0.3333333333333333
QE:HP:0100614:1,QE,0.5
QE:HP:0500164:0,QE,1.0
QE:HP:0500164:1,QE,1.0
QE:HP:6001063:0,QE,1.0
QE:HP:0010972:0,QE,0.0
QE:HP:0010972:1,QE,0.2
QE:HP:0034981:0,QE,1.0
QE:HP:0032274:0,QE,1.0
QE:HP:0032274:1,QE,1.0
QE:HP:0030791:0,QE,1.0
QE:HP:0002717:0,QE,1.0
QE:HP:0012403:0,QE,1.0
QE:HP:0012403:1,QE,1.0
QE:HP:0002679:0,QE,0.25
QE:HP:0002679:1,QE,0.0
QE:HP:0025141:0,QE,1.0
QE:HP:0025141:1,QE,1.0
QE:HP:0003682:0,QE,1.0
QE:HP:0034805:0,QE,1.0
QE:HP:6000285:0,QE,0.3333333333333333
QE:HP:0000828:0,QE,1.0
QE:HP:0000828:1,QE,1.0
QE:HP:0002171:0,QE,1.0
QE:HP:0002171:1,QE,1.0
QE:HP:0012119:0,QE,0.5
QE:HP:0200134:0,QE,0.3333333333333333
QE:HP:0200134:1,QE,0.16666666666666666
QE:HP:0005311:0,QE,1.0
QE:HP:0005311:1,QE,1.0
QE:HP:0011043:0,QE,1.0
QE:HP:0011043:1,QE,1.0
QE:HP:0011462:0,QE,0.14285714285714285
QE:HP:0000816:0,QE,1.0
QE:HP:0000816:1,QE,1.0
QE:HP:0001442:0,QE,0.0
QE:HP:0001442:1,QE,0.5
QE:HP:0004425:0,QE,1.0
QE:HP:0004425:1,QE,1.0
QE:HP:0033072:0,QE,1.0
QE:HP:0003349:0,QE,1.0
QE:HP:0033789:0,QE,1.0
QE:HP:0004904:0,QE,0.5
QE:HP:0004904:1,QE,0.0
QE:HP:6000781:0,QE,1.0
QE:HP:0011281:0,QE,1.0
QE:HP:0005336:0,QE,1.0
QE:HP:0005336:1,QE,1.0
QE:HP:0000932:0,QE,1.0
QE:HP:0000932:1,QE,1.0
QE:HP:0002789:0,QE,1.0
QE:HP:0002789:1,QE,0.0
QE:HP:6000138:0,QE,1.0
QE:HP:6000138:1,QE,1.0
QE:HP:6000757:0,QE,0.5
QE:HP:0001744:0,QE,1.0
QE:HP:0001744:1,QE,1.0
QE:HP:0012364:0,QE,0.16666666666666666
QE:HP:0012364:1,QE,1.0
QE:HP:0007626:0,QE,1.0
QE:HP:0007626:1,QE,1.0
QE:HP:6001380:0,QE,0.5
QE:HP:0002204:0,QE,0.5
QE:HP:0002204:1,QE,0.5
QE:HP:0034829:0,QE,1.0
QE:HP:0031795:0,QE,1.0
QE:HP:0010482:0,QE,0.0
QE:HP:0033123:0,QE,1.0
QE:HP:0012400:0,QE,1.0
QE:HP:0012400:1,QE,1.0
QE:HP:0004470:0,QE,0.5
QE:HP:0025386:0,QE,1.0
QE:HP:0000589:0,QE,0.0
QE:HP:0000589:1,QE,0.3333333333333333
QE:HP:0020060:0,QE,1.0
QE:HP:0020060:1,QE,0.5
QE:HP:0011390:0,QE,0.5
QE:HP:0011390:1,QE,0.5
QE:HP:0031842:0,QE,1.0
QE:HP:0031842:1,QE,1.0
QE:HP:6000959:0,QE,1.0
QE:HP:0410180:0,QE,1.0
QE:HP:0410180:1,QE,0.3333333333333333
QE:HP:0004408:0,QE,1.0
QE:HP:0004408:1,QE,1.0
